issue,frequency
"('content issue', 'not satisfactory or free content')",5
"('content issue', 'us reference')",4
"('content issue', 'content quality problem')",3
"('exam issue', 'marked right answer but shows wrong.')",2
"('exam issue', 'certificate issue')",2
"('content issue', 'level 2 level 3 problem')",2
